system,question_id,question_type,difficulty,gold_in_evidence,retrieval_complete,n_checkable,n_supported,n_supported_uncited,n_unsupported,n_contradicted,hallucination_risk,failure_layer
S3_corrective_rag,V2Q079,factual,easy,0.0,False,0,0,0,0,0,ABSTAINED,Abstained
S3_corrective_rag,V2Q080,paraphrased,medium,1.0,True,1,0,1,0,0,LOW,Attribution
S3_corrective_rag,V2Q081,factual,easy,0.0,False,0,0,0,0,0,ABSTAINED,Abstained
S3_corrective_rag,V2Q082,paraphrased,medium,0.0,False,0,0,0,0,0,ABSTAINED,Abstained
S3_corrective_rag,V2Q083,multi_document_comparison,hard,0.0,False,0,0,0,0,0,ABSTAINED,Abstained
S3_corrective_rag,V2Q084,multi_document_comparison,hard,1.0,True,0,0,0,0,0,ABSTAINED,Abstained
S3_corrective_rag,V2Q085,multi_document_comparison,hard,0.0,False,0,0,0,0,0,ABSTAINED,Abstained
S3_corrective_rag,V2Q086,multi_document_comparison,hard,0.0,False,0,0,0,0,0,ABSTAINED,Abstained
S3_corrective_rag,V2Q087,multi_document_comparison,hard,0.5,False,0,0,0,0,0,ABSTAINED,Abstained
S3_corrective_rag,V2Q088,multi_document_comparison,hard,1.0,True,0,0,0,0,0,ABSTAINED,Abstained
S3_corrective_rag,V2Q089,multi_document_comparison,hard,0.0,False,4,3,1,0,0,LOW,Attribution
S3_corrective_rag,V2Q090,multi_document_comparison,hard,0.0,False,4,2,1,1,0,MEDIUM,Retrieval
S3_corrective_rag,V2Q091,multi_document_comparison,hard,0.0,False,0,0,0,0,0,ABSTAINED,Abstained
S3_corrective_rag,V2Q092,multi_document_comparison,hard,0.0,False,0,0,0,0,0,ABSTAINED,Abstained
S3_corrective_rag,V2Q093,multi_document_synthesis,hard,0.0,False,0,0,0,0,0,ABSTAINED,Abstained
S3_corrective_rag,V2Q094,multi_document_synthesis,hard,1.0,True,2,1,1,0,0,LOW,Attribution
S3_corrective_rag,V2Q095,multi_document_synthesis,hard,0.0,False,0,0,0,0,0,ABSTAINED,Abstained
S3_corrective_rag,V2Q096,multi_document_synthesis,hard,0.5,False,0,0,0,0,0,NO_CLAIMS,NoClaims
S3_corrective_rag,V2Q097,multi_document_synthesis,hard,0.0,False,4,3,0,1,0,MEDIUM,Retrieval
S3_corrective_rag,V2Q098,multi_document_synthesis,hard,0.0,False,0,0,0,0,0,NO_CLAIMS,NoClaims
S3_corrective_rag,V2Q099,multi_document_synthesis,hard,0.5,False,4,2,2,0,0,LOW,Attribution
S3_corrective_rag,V2Q100,multi_document_synthesis,hard,0.5,False,2,1,1,0,0,LOW,Attribution
S3_corrective_rag,V2Q101,multi_document_synthesis,hard,0.5,False,0,0,0,0,0,ABSTAINED,Abstained
S3_corrective_rag,V2Q102,multi_document_synthesis,hard,0.0,False,0,0,0,0,0,ABSTAINED,Abstained
S2_modular_rag,V2Q001,paraphrased,medium,1.0,True,1,0,0,1,0,HIGH,Generation
S2_modular_rag,V2Q002,paraphrased,medium,1.0,True,2,2,0,0,0,LOW,Clean
S2_modular_rag,V2Q003,procedural,medium,1.0,True,2,0,2,0,0,LOW,Attribution
S2_modular_rag,V2Q004,paraphrased,medium,1.0,True,5,3,0,2,0,MEDIUM,Generation
S2_modular_rag,V2Q005,adversarial_false_premise,hard,1.0,True,4,1,1,1,1,HIGH,Generation
S2_modular_rag,V2Q006,factual,easy,1.0,True,4,4,0,0,0,LOW,Clean
S2_modular_rag,V2Q007,factual,easy,1.0,True,2,1,0,0,1,HIGH,Generation
S2_modular_rag,V2Q008,procedural,medium,1.0,True,3,2,0,1,0,MEDIUM,Generation
S2_modular_rag,V2Q009,paraphrased,medium,1.0,True,1,1,0,0,0,LOW,Clean
S2_modular_rag,V2Q010,paraphrased,medium,1.0,True,10,5,1,4,0,MEDIUM,Generation
S2_modular_rag,V2Q011,adversarial_false_premise,hard,1.0,True,3,0,1,2,0,HIGH,Generation
S2_modular_rag,V2Q012,adversarial_false_premise,hard,1.0,True,5,2,1,1,1,HIGH,Generation
S2_modular_rag,V2Q013,factual,easy,0.0,False,3,1,1,1,0,MEDIUM,Retrieval
S2_modular_rag,V2Q014,factual,easy,1.0,True,3,0,1,1,1,HIGH,Generation
S2_modular_rag,V2Q015,adversarial_false_premise,hard,1.0,True,6,2,3,0,1,HIGH,Generation
S2_modular_rag,V2Q016,factual,easy,1.0,True,2,0,1,1,0,MEDIUM,Generation
S2_modular_rag,V2Q017,procedural,medium,1.0,True,5,4,0,1,0,LOW,Generation
S2_modular_rag,V2Q018,paraphrased,medium,1.0,True,1,1,0,0,0,LOW,Clean
S2_modular_rag,V2Q019,reasoning,hard,0.0,False,0,0,0,0,0,NO_CLAIMS,NoClaims
S2_modular_rag,V2Q020,paraphrased,medium,1.0,True,2,0,1,1,0,MEDIUM,Generation
S2_modular_rag,V2Q021,factual,easy,1.0,True,0,0,0,0,0,NO_CLAIMS,NoClaims
S2_modular_rag,V2Q022,paraphrased,medium,1.0,True,2,2,0,0,0,LOW,Clean
S2_modular_rag,V2Q023,adversarial_false_premise,hard,1.0,True,3,1,1,1,0,MEDIUM,Generation
S2_modular_rag,V2Q024,factual,easy,1.0,True,2,2,0,0,0,LOW,Clean
S2_modular_rag,V2Q025,factual,easy,0.0,False,4,3,0,1,0,MEDIUM,Retrieval
S2_modular_rag,V2Q026,paraphrased,medium,0.0,False,2,1,0,0,1,HIGH,Retrieval
S2_modular_rag,V2Q027,paraphrased,medium,1.0,True,1,1,0,0,0,LOW,Clean
S2_modular_rag,V2Q028,procedural,medium,1.0,True,1,1,0,0,0,LOW,Clean
S2_modular_rag,V2Q029,paraphrased,medium,1.0,True,1,1,0,0,0,LOW,Clean
S2_modular_rag,V2Q030,procedural,medium,1.0,True,2,1,0,1,0,MEDIUM,Generation
S2_modular_rag,V2Q031,factual,easy,0.0,False,2,1,0,0,1,HIGH,Retrieval
S2_modular_rag,V2Q032,factual,easy,1.0,True,4,3,1,0,0,LOW,Attribution
S2_modular_rag,V2Q033,paraphrased,medium,1.0,True,4,2,2,0,0,LOW,Attribution
S2_modular_rag,V2Q034,procedural,medium,0.0,False,1,1,0,0,0,LOW,Clean
S2_modular_rag,V2Q035,reasoning,hard,1.0,True,2,0,1,1,0,MEDIUM,Generation
S2_modular_rag,V2Q036,paraphrased,medium,1.0,True,4,2,0,1,1,HIGH,Generation
S2_modular_rag,V2Q037,factual,easy,1.0,True,0,0,0,0,0,NO_CLAIMS,NoClaims
S2_modular_rag,V2Q038,reasoning,hard,1.0,True,2,0,1,1,0,MEDIUM,Generation
S2_modular_rag,V2Q039,paraphrased,medium,1.0,True,1,1,0,0,0,LOW,Clean
S2_modular_rag,V2Q040,factual,easy,1.0,True,7,2,2,0,3,HIGH,Generation
S2_modular_rag,V2Q041,factual,easy,1.0,True,2,2,0,0,0,LOW,Clean
S2_modular_rag,V2Q042,factual,easy,0.0,False,5,1,1,0,3,HIGH,Retrieval
S2_modular_rag,V2Q043,procedural,medium,1.0,True,2,1,1,0,0,LOW,Attribution
S2_modular_rag,V2Q044,reasoning,hard,1.0,True,3,2,1,0,0,LOW,Attribution
S2_modular_rag,V2Q045,paraphrased,medium,1.0,True,1,1,0,0,0,LOW,Clean
S2_modular_rag,V2Q046,factual,easy,1.0,True,2,2,0,0,0,LOW,Clean
S2_modular_rag,V2Q047,reasoning,hard,0.0,False,5,0,4,0,1,HIGH,Retrieval
S2_modular_rag,V2Q048,factual,easy,1.0,True,0,0,0,0,0,NO_CLAIMS,NoClaims
S2_modular_rag,V2Q049,factual,easy,1.0,True,0,0,0,0,0,NO_CLAIMS,NoClaims
S2_modular_rag,V2Q050,reasoning,hard,0.0,False,0,0,0,0,0,NO_CLAIMS,NoClaims
S2_modular_rag,V2Q051,procedural,medium,1.0,True,4,0,3,0,1,HIGH,Generation
S2_modular_rag,V2Q052,paraphrased,medium,1.0,True,3,0,1,2,0,HIGH,Generation
S2_modular_rag,V2Q053,reasoning,hard,0.0,False,5,1,3,1,0,LOW,Retrieval
S2_modular_rag,V2Q054,procedural,medium,1.0,True,0,0,0,0,0,NO_CLAIMS,NoClaims
S2_modular_rag,V2Q055,paraphrased,medium,1.0,True,3,1,0,2,0,HIGH,Generation
S2_modular_rag,V2Q056,reasoning,hard,1.0,True,3,1,0,2,0,HIGH,Generation
S2_modular_rag,V2Q057,procedural,medium,0.0,False,6,4,1,0,1,HIGH,Retrieval
S2_modular_rag,V2Q058,factual,easy,1.0,True,2,1,0,1,0,MEDIUM,Generation
S2_modular_rag,V2Q059,paraphrased,medium,1.0,True,1,1,0,0,0,LOW,Clean
S2_modular_rag,V2Q060,factual,easy,1.0,True,3,1,2,0,0,LOW,Attribution
S2_modular_rag,V2Q061,factual,easy,0.0,False,1,1,0,0,0,LOW,Clean
S2_modular_rag,V2Q062,procedural,medium,1.0,True,3,2,0,0,1,HIGH,Generation
S2_modular_rag,V2Q063,reasoning,hard,1.0,True,2,0,0,0,2,HIGH,Generation
S2_modular_rag,V2Q064,paraphrased,medium,1.0,True,1,0,1,0,0,LOW,Attribution
S2_modular_rag,V2Q065,paraphrased,medium,1.0,True,1,1,0,0,0,LOW,Clean
S2_modular_rag,V2Q066,reasoning,hard,1.0,True,3,1,1,1,0,MEDIUM,Generation
S2_modular_rag,V2Q067,paraphrased,medium,0.0,False,3,1,0,0,2,HIGH,Retrieval
S2_modular_rag,V2Q068,factual,easy,1.0,True,1,1,0,0,0,LOW,Clean
S2_modular_rag,V2Q069,paraphrased,medium,1.0,True,1,1,0,0,0,LOW,Clean
S2_modular_rag,V2Q070,paraphrased,medium,0.0,False,5,0,1,4,0,HIGH,Retrieval
S2_modular_rag,V2Q071,factual,easy,1.0,True,1,1,0,0,0,LOW,Clean
S2_modular_rag,V2Q072,reasoning,hard,1.0,True,2,2,0,0,0,LOW,Clean
S2_modular_rag,V2Q073,adversarial_false_premise,hard,1.0,True,3,1,0,1,1,HIGH,Generation
S2_modular_rag,V2Q074,factual,easy,1.0,True,2,0,0,0,2,HIGH,Generation
S2_modular_rag,V2Q075,procedural,medium,1.0,True,1,1,0,0,0,LOW,Clean
S2_modular_rag,V2Q076,reasoning,hard,1.0,True,6,2,1,3,0,MEDIUM,Generation
S2_modular_rag,V2Q077,adversarial_false_premise,hard,1.0,True,8,1,1,0,6,HIGH,Generation
S2_modular_rag,V2Q078,procedural,medium,0.0,False,1,1,0,0,0,LOW,Clean
S2_modular_rag,V2Q079,factual,easy,0.0,False,2,0,0,2,0,HIGH,Retrieval
S2_modular_rag,V2Q080,paraphrased,medium,1.0,True,1,0,1,0,0,LOW,Attribution
S2_modular_rag,V2Q081,factual,easy,0.0,False,1,0,0,1,0,HIGH,Retrieval
S2_modular_rag,V2Q082,paraphrased,medium,0.0,False,1,0,1,0,0,LOW,Attribution
S2_modular_rag,V2Q083,multi_document_comparison,hard,0.0,False,5,0,0,5,0,HIGH,Retrieval
S2_modular_rag,V2Q084,multi_document_comparison,hard,1.0,True,3,0,0,3,0,HIGH,Generation
S2_modular_rag,V2Q085,multi_document_comparison,hard,0.0,False,5,0,0,1,4,HIGH,Retrieval
S2_modular_rag,V2Q086,multi_document_comparison,hard,0.0,False,4,0,1,1,2,HIGH,Retrieval
S2_modular_rag,V2Q087,multi_document_comparison,hard,0.5,False,5,2,0,3,0,HIGH,Retrieval
S2_modular_rag,V2Q088,multi_document_comparison,hard,1.0,True,6,2,1,1,2,HIGH,Generation
S2_modular_rag,V2Q089,multi_document_comparison,hard,0.0,False,2,0,0,1,1,HIGH,Retrieval
S2_modular_rag,V2Q090,multi_document_comparison,hard,0.0,False,5,2,3,0,0,LOW,Attribution
S2_modular_rag,V2Q091,multi_document_comparison,hard,0.0,False,2,1,0,0,1,HIGH,Retrieval
S2_modular_rag,V2Q092,multi_document_comparison,hard,0.0,False,4,0,0,3,1,HIGH,Retrieval
S2_modular_rag,V2Q093,multi_document_synthesis,hard,0.0,False,5,1,2,1,1,HIGH,Retrieval
S2_modular_rag,V2Q094,multi_document_synthesis,hard,1.0,True,3,2,1,0,0,LOW,Attribution
S2_modular_rag,V2Q095,multi_document_synthesis,hard,0.0,False,2,1,1,0,0,LOW,Attribution
S2_modular_rag,V2Q096,multi_document_synthesis,hard,0.5,False,3,1,0,1,1,HIGH,Retrieval
S2_modular_rag,V2Q097,multi_document_synthesis,hard,0.0,False,3,2,0,1,0,MEDIUM,Retrieval
S2_modular_rag,V2Q098,multi_document_synthesis,hard,0.0,False,6,0,3,3,0,MEDIUM,Retrieval
S2_modular_rag,V2Q099,multi_document_synthesis,hard,0.5,False,3,2,0,0,1,HIGH,Retrieval
S2_modular_rag,V2Q100,multi_document_synthesis,hard,0.5,False,2,1,1,0,0,LOW,Attribution
S2_modular_rag,V2Q101,multi_document_synthesis,hard,0.5,False,3,0,1,2,0,HIGH,Retrieval
S2_modular_rag,V2Q102,multi_document_synthesis,hard,0.0,False,4,0,1,3,0,HIGH,Retrieval
